"iso3","mpa_sqkm","tpa_sqkm","error"
"AGO",603.976258410092,82294.7718574219,NA
"ANT",22.5527605095562,NA,NA
"ARG",1559.53061271772,121829.154163002,NA
"ARM",NA,2099.61922787969,NA
"ASM",0.693566404664013,NA,NA
"ATG",80.2473619407199,69.0438425570002,NA
"AUS",372932.025567326,336885.378826875,NA
"AZE",287.839735430446,6097.85008883626,NA
"BDI",NA,990.760081954472,NA
"BEN",NA,29522.2214707218,NA
"BFA",NA,34208.9000337825,NA
"BGD",839.239632708479,2619.06778202834,NA
"BHS",578.752706968502,329.794845143776,NA
"BLR",0.00674754405430244,14436.8522376781,NA
"BLZ",1134.73943798639,7154.73649645362,NA
"BMU",139.592283056003,1.38135730961846,NA
"BOL",0.00205589282048806,141479.665707782,NA
"BRA",6453.79722691158,812430.426996419,NA
"BRN",11.0288822450989,1077.94350804221,NA
"BTN",0.0130896749297595,11047.6961558568,NA
"BWA",NA,105694.246933707,NA
"CAF",NA,108548.38693103,NA
"CAN",21574.246616067,790561.511324026,NA
"CHL",39031.2890357329,98218.482462571,NA
"CHN",5457.19850828828,499191.738112353,NA
"CIV",233.677293599038,70656.4951915135,NA
"CMR",445.847593609143,61066.4576801161,NA
"COG",0.000419059362736763,27644.8272128227,NA
"COL",2152.57916878426,202903.673912631,NA
"CRI",170.445145118534,13218.3962414879,NA
"CUB",15956.0151286177,8819.78959819154,NA
"CXR",77.1038546473129,10.6541942434129,NA
"CYM",54.7192378339372,29.2427873041697,NA
"CZE",0.0000389871154507964,9893.94379060684,NA
"DMA",0.488903314906449,92.3890030163982,NA
"DNK",1784.62822189958,1069.91302928256,NA
"DOM",26156.486549789,2924.93127146057,NA
"DZA",0.0212007573298834,100483.867207556,NA
"ECU",53542.4696658002,36732.2029818943,NA
"EGY",827.594403184081,973.022606846527,NA
"ERI",NA,5936.22881423586,NA
"ESP",664.335857028282,25455.5575422895,NA
"EST",605.007011827009,1332.91354204073,NA
"ETH",NA,195437.789256681,NA
"FIN",4787.75007416556,28569.2202604584,NA
"FJI",26.1993798509582,65.511461044663,NA
"FRA",556.372983563829,15111.9118662357,NA
"GAB",475.424574876197,21021.9088706894,NA
"GBR",2900.01736177553,31182.0206495983,NA
"GEO",10.1875919242105,1404.99066107285,NA
"GHA",NA,15473.1213014301,NA
"GIN",2.51640065370458,9866.69608997458,NA
"GLP",110.182103910592,46.5194348891179,NA
