"iso3","mpa_sqkm","tpa_sqkm","error"
" ",210.615785585581,12674.6579640144,NA
"AGO",603.976258410092,82294.7718574219,NA
"AIA",135.928944049499,27.2755742487995,NA
"ALB",12.4070669745329,97.0286459388477,NA
"ANT",22.5527605095562,NA,NA
"ARG",1544.31133993155,128921.795955823,NA
"ARM",NA,2116.35956117422,NA
"ATG",112.315850183684,91.6512067650123,NA
"AUS",368930.487243343,378917.876821846,NA
"AUT",52.4608285069389,925.415106384757,NA
"AZE",195.235477214695,1916.8876676852,NA
"BDI",NA,990.760081954472,NA
"BEL",1.39266248627082,64.0260615907988,NA
"BEN",NA,29522.2214705889,NA
"BFA",NA,34256.5288459742,NA
"BGD",2054.35983381725,8236.15377182681,NA
"BGR",11.8465353048786,456.944599306814,NA
"BLR",0.00674754405430244,14859.2441332097,NA
"BLZ",1405.26638326556,7154.73649457032,NA
"BOL",0.00274630865308974,215720.518290546,NA
"BRA",20193.4161645134,814630.852306086,NA
"BRN",11.0288822450989,1248.63080614094,NA
"BTN",0.0130896749297595,11047.6961558568,NA
"BWA",NA,102343.359467906,NA
"CAF",NA,60663.4208055667,NA
"CAN",17012.2972295267,418682.980171151,NA
"CHE",NA,89.7005115590141,NA
"CHL",39031.2890357329,98919.6658698479,NA
"CHN",5457.19850828828,500593.524286217,NA
"CIV",224.357684048994,20647.8643099584,NA
"CMR",364.853884944232,20263.2688645297,NA
"COG",0.000740748446039855,11129.9503563698,NA
"COL",2152.57916878426,202903.673912631,NA
"COM",6.82709058766276,4.91055988541081,NA
"CRI",170.445407455499,13218.3890414469,NA
"CUB",1027.32108076917,7134.88928130206,NA
"CYM",50.0009614899277,28.694315989402,NA
"CZE",0.0000389871154507964,10108.8909522161,NA
"DEU",4592.64646468031,2245.31345722625,NA
"DMA",0.488903314906449,92.3890030163982,NA
"DNK",5714.57075069397,2621.80561035798,NA
"DOM",2398.99087267271,2706.56609228259,NA
"DZA",0.0212007573298834,100483.868399889,NA
"ECU",53599.873029845,36927.6189825993,NA
"EGY",827.594403184081,973.022606846527,NA
"ERI",238.413113319845,6353.25374406537,NA
"ESP",236.11221003344,1482.05892996833,NA
"EST",934.05821439632,2539.51224597347,NA
"ETH",NA,195437.048036375,NA
"FIN",622.409958397781,659.464868924767,NA
"FJI",26.1993798509582,65.511461044663,NA
"FRA",1215.89614629432,8288.58204772772,NA
"GAB",467.521709148096,18094.1758151419,NA
"GBR",2244.42558175569,2307.2371632,NA
"GEO",12.4621425546281,1726.62343190862,NA
"GHA",230.882319861791,15967.2495282689,NA
"GIN",1017.95655583224,10616.6200177495,NA
"GLP",113.727666424941,71.601616541965,NA
"GMB",92.8727761299212,214.246932391391,NA
"GNB",117.636959775106,137.537193760325,NA
"GNQ",509.701540455879,3862.94740014907,NA
"GRC",3432.20788504034,3766.42387607984,NA
"GRL",41330.0609581923,847921.814023961,NA
"GTM",242.432203516947,16830.3954982062,NA
"HKG",303.604997900848,133.318458216525,NA
"HND",3230.38260976257,12454.1151277328,NA
"HRV",0.000763783856600567,1544.04092070766,NA
"HUN",NA,6279.25106177675,NA
"IDN",60108.0104705875,292711.933662989,NA
"IND",2741.54545113361,152022.948343105,NA
"IRL",149.988372123057,614.536944274448,NA
"IRN",1366.45201824482,15814.7739480061,NA
"ISL",414.185147764189,9713.76438908285,NA
"ITA",194.591990007816,427.475917620425,NA
"JAM",183.806519308977,949.496099240891,NA
"JPN",24041.6842952543,55361.6879119932,NA
"KEN",255.277148654601,56178.5107369814,NA
"KHM",433.5395250732,32660.1481504804,NA
"KOR",4560.93647127468,3329.61467210667,NA
"LAO",0.0084591052300632,38715.7531514741,NA
"LBR",NA,967.492751143641,NA
"LIE",NA,1.04841392348334,NA
"LKA",739.108648338254,8869.56092928442,NA
"LSO",NA,6429.83755678827,NA
"LTO",99.6591458544056,1179.82818672437,NA
"LVA",6.34070624321813,1645.85640960079,NA
"MAR",81.4073303736749,1100.03060650343,NA
"MDG",301.560252573225,6469.14925204872,NA
"MEX",6404.13366381969,54679.1806509072,NA
"MKD",NA,1068.80806190583,NA
"MLI",NA,33156.37590805,NA
"MMR",4185.85541220582,32664.0567995376,NA
"MNG",0.0466720327105594,122367.190603553,NA
"MOZ",349.494786766377,44524.0562106455,NA
"MRT",6277.03397961915,5657.159712325,NA
"MTQ",523.240190867534,149.350037544898,NA
"MUS",59.680031331642,55.2671575106856,NA
"MWI",NA,16346.4761416428,NA
"MYS",3471.65043994799,26853.6178180688,NA
"NAM",1352.37439967904,108487.11913879,NA
"NCL",658.208273993071,346.441258419829,NA
"NER",NA,82066.8163600681,NA
"NGA",NA,29231.1086156175,NA
"NIC",5126.27790610867,21623.0008059345,NA
"NLD",2572.34394800648,866.836759367636,NA
"NOR",1224.39037696573,17002.1628546077,NA
"NPL",0.0443475849982969,21368.781822699,NA
"NZL",3511.78892176106,27166.1816628802,NA
"OMN",NA,26894.3744156929,NA
"PAK",562.168231493437,86128.7013477055,NA
"PAN",1938.15007818092,15496.0675826985,NA
"PCN",26.6032844666894,14.6831296502599,NA
"PER",2176.70230496017,90473.2974739551,NA
"PHL",14434.9533516425,10907.9166408137,NA
"PNG",7015.2818765231,48335.5937218233,NA
"POL",152.948664488309,762.927552953404,NA
"PRI",134.213677492786,115.105326313302,NA
"PRT",552.170053052345,5590.97227463393,NA
"PRY",NA,12855.6301411376,NA
"ROM",2520.59410706765,6545.77492507413,NA
"RUS",75879.5057592154,570013.601228471,NA
"RWA",NA,4083.24018818239,NA
"SDN",NA,24987.2593995786,NA
"SEN",1582.34767702057,23277.1139439345,NA
"SGP",9.75063337343061,30.5173564837615,NA
"SGS",21.0273038684459,4.70584302461143,NA
"SHN",55.5366268629056,8.70621504420948,NA
"SJM",6704.72960880098,28053.3396075999,NA
"SLE",NA,740.097709492615,NA
"SLV",30.2862140361424,251.374749575033,NA
"SOM",1.3424425833312,1556.60676112057,NA
"SUR",645.941049575273,5811.90313306099,NA
"SVK",NA,8526.89508793497,NA
"SVN",2.18209604299695,9.66187041860257,NA
"SWE",184.308572070198,10464.9312583403,NA
"SWZ",NA,527.393877441209,NA
"SYC",93.5006296508771,67.1998831698279,NA
"TCA",366.030773792905,60.7946185342659,NA
"TCD",NA,8490.04628446779,NA
"TGO",NA,4937.49270224992,NA
"THA",4626.37807781556,62963.8521453073,NA
"TKM",1481.23220824758,626.684494620515,NA
"TON",19.3438397336851,16.8685365648367,NA
"TTO",281.635869444746,1258.6636408142,NA
"TUN",2.87924937284155,408.641083006005,NA
"TUR",25.2203747202463,947.220409696354,NA
"TWN",426.291891912266,3840.24571928238,NA
"TZA",NA,135316.890716495,NA
"UGA",NA,49518.2302231798,NA
"UKR",923.879730587225,363.570769867975,NA
"URY",399.03518442204,4131.63209276211,NA
"USA",21892.9228948378,681440.37881415,NA
"VEN",10635.7749696018,377194.989037466,NA
"VGB",5.71191032136872,3.99059461412777,NA
"VNM",1292.07445969455,19813.7786022448,NA
"VUT",8.56075584641208,2.15813381155549,NA
"WSM",31.5133186534764,16.3299874197831,NA
"YUG",NA,1551.92010427839,NA
"ZAF",546.049938975728,1209.2851041812,NA
"ZAR",NA,152344.252042554,NA
"ZMB",0.0000508737269177218,222875.616011862,NA
"ZWE",NA,50132.0117411462,NA
