"iso3","mpa_sqkm","tpa_sqkm","error"
"AGO",603.976258410092,82294.7718574219,NA
"AIA",135.928944049499,27.2755742487995,NA
"ALB",12.4070669745329,97.0286459388477,NA
"ANT",29.632816977539,22.6259520074139,NA
"ARG",1926.57948455839,116977.70334317,NA
"ARM",NA,2116.35956117422,NA
"ATG",112.315850183684,91.6512067650123,NA
"AUS",42745.8468796604,354326.524559597,NA
"AUT",0.00145251988232729,925.415106384757,NA
"AZE",228.479462374298,2174.10102941573,NA
"BDI",NA,990.760081954472,NA
"BEL",53.8520384733274,64.0260615907988,NA
"BEN",NA,29522.2214705889,NA
"BFA",NA,34256.5288459742,NA
"BGD",2077.93281394024,8239.30446179751,NA
"BGR",11.8465353048786,456.944599306814,NA
"BLR",0.00674754405430244,12700.2612517572,NA
"BLZ",1405.26638326556,7160.83228908296,NA
"BMU",3.20836770455732,1.16316811405198,NA
"BOL",0.00274630865308974,215720.518456517,NA
"BRA",20204.8486071646,812985.180980844,NA
"BRN",11.0288822450989,1248.63080614094,NA
"BTN",0.0130896749297595,11047.6961558568,NA
"BWA",NA,162765.969992168,NA
"CAF",NA,90017.600460596,NA
"CAN",31169.2365051692,754011.348367298,NA
"CHE",NA,89.7005115590141,NA
"CHL",876.237664935282,22295.7322098187,NA
"CHN",5464.11789578084,329219.247236253,NA
"CIV",224.357684048994,20647.8643099584,NA
"CMR",445.847593609143,39592.8788304927,NA
"COG",0.000419059362736763,38322.6563538198,NA
"COL",2152.57916878426,202903.673912631,NA
"COM",6.82709058766276,4.91055988541081,NA
"CRI",1223.81030510235,13540.7701234433,NA
"CUB",1018.33335722652,2394.55401003534,NA
"CYM",50.0009614899277,28.694315989402,NA
"CZE",0.0000389871154507964,10108.8909518034,NA
"DEU",4592.64646468031,2245.31345722625,NA
"DMA",40.1435039737394,120.109389267548,NA
"DNK",5714.57075069397,2621.80561035798,NA
"DOM",2398.99087267271,2706.56609228259,NA
"DZA",0.0212007573298834,100483.868399889,NA
"ECU",48957.855205674,36927.6189825993,NA
"EGY",827.594403184081,973.022606846527,NA
"ERI",238.413113319845,6353.25374406537,NA
"ESP",774.547323429233,24453.9799561957,NA
"EST",934.05821439632,2539.51224597347,NA
"ETH",NA,195437.048036375,NA
"FIN",5083.76380493339,28918.896261628,NA
"FJI",26.1993798509582,65.511461044663,NA
"FRA",2878.91728205414,6985.59765033314,NA
"GAB",990.138370476509,42517.2183022059,NA
"GBR",2220.83540437686,2017.88717763591,NA
"GEO",12.4621425546281,1726.62343190862,NA
"GHA",230.882319861791,15967.2495282689,NA
"GIN",1017.95655583224,10616.6200177495,NA
"GLP",113.727666424941,71.601616541965,NA
"GMB",92.8727761299212,214.246932391391,NA
"GNB",117.636959775106,137.537193760325,NA
"GNQ",507.630393051607,3873.77011454205,NA
"GRC",3432.20788504034,3766.42387607984,NA
"GRL",9156.98647035804,22516.2492819057,NA
"GTM",270.406219891931,17636.3218562413,NA
"HKG",247.599816121197,133.022821322348,NA
"HND",3230.38260976257,12454.1151277328,NA
"HRV",0.000763783856600567,1544.04092070766,NA
"HUN",NA,6305.12306525265,NA
"IDN",59392.9767236495,268068.530842138,NA
"IND",2653.83968012447,138193.031434739,NA
"IRL",149.988372123057,614.536944274448,NA
"IRN",1164.04849992289,12259.543986305,NA
"ISL",442.146805526182,9836.50995111737,NA
"ITA",194.591990007816,427.475917620425,NA
"JAM",92.0415422589569,561.873360267592,NA
"JPN",23528.7294726579,55306.6633526571,NA
"KAZ",389.095228621857,50058.8389896726,NA
"KEN",255.277148654601,56179.5242369913,NA
"KGZ",NA,12596.8967361708,NA
"KHM",433.5395250732,29783.712334017,NA
"KOR",4560.93647127468,3329.61467210667,NA
"LAO",0.0084591052300632,38715.7531514741,NA
